,Зібрана площа. га
Одеська область,605000
м.Одеса,–
м.Балта,18665
м.Білгород-Дністровський,3838
м.Біляївка,2717
м.Ізмаїл,450
райони,
Ананьївський,23306
Арцизький,26603
Балтський,8458
Білгород-Дністровський,31420
Біляївський,21740
Березівський,33019
Болградський,24985
Великомихайлівський,32136
Іванівський,26606
Ізмаїльський,25826
Кілійський,15280
Кодимський,14372
Лиманський,32072
Подільський,28111
Окнянський,20019
Любашівський,24828
Миколаївський,10798
Овідіопольський,15167
Роздільнянський,22799
Ренійський,6751
Савранський,12079
Саратський,41304
Тарутинський,31814
Татарбунарський,13142
Захарівський,12116
Ширяївський,24579
